12___10	3187,3409;
12___11	3236,3376;
12___12	3245,3382;
12___13	3194,3404;
12___14	3201,3355;
12___15	3184,3338;
12___16	3232,3387;
13___1	3090,3312;
13___2	3052,3181;
13___3	3021,3198;
13___4	3108,3195;
13___5	3057,3189;
13___6	3036,3173;
13___7	3098,3188;
13___8	3128,3273;
13___9	3054,3164;
13___10	3060,3232;
13___11	3060,3272;
13___12	3100,3244;
13___13	3082,3161;
13___14	3028,3158;
13___15	2999,3209;
13___16	3033,3185;
14___1	3844,3912;
14___2	3778,3940;
14___3	3839,3939;
14___4	3843,3927;
14___5	3845,3946;
14___6	3852,4032;
14___7	3814,3975;
14___8	3900,3982;
14___9	3855,4019;
14___10	3781,3961;
14___11	3851,3962;
14___12	3829,3949;
14___13	3817,3942;
14___14	3859,3985;
14___15	3840,4050;
14___16	3844,4018;
15___1	3866,4009;
15___2	3875,4008;
15___3	3888,4056;
15___4	3897,4050;
15___5	3902,4058;
15___6	3916,3970;
15___7	3912,4030;
15___8	3959,3995;
15___9	3916,4016;
15___10	3897,4126;
15___11	3930,4003;
15___12	3899,3965;
15___13	3872,4004;
15___14	3900,3975;
15___15	3886,4092;
15___16	3871,4041;
16___1	3378,3560;
16___2	3371,3501;
16___3	3388,3570;
16___4	3411,3577;
16___5	3395,3538;
16___6	3387,3447;
16___7	3394,3470;
16___8	3422,3471;
16___9	3402,3580;
16___10	3403,3562;
16___11	3377,3519;
16___12	3385,3655;
16___13	3353,3480;
16___14	3342,3524;
16___15	3378,3510;
16___16	3379,3577;
17___1	3543,3663;
17___2	3529,3635;
17___3	3548,3671;
17___4	3558,3670;
17___5	3558,3643;
17___6	3522,3716;
17___7	3509,3638;
17___8	3614,3614;
17___9	3565,3679;
17___10	3537,3612;
17___11	3522,3646;
17___12	3540,3701;
17___13	3544,3657;
17___14	3526,3662;
17___15	3528,3666;
17___16	3517,3680;
18___1	3291,3434;
18___2	3279,3351;
18___3	3280,3380;
18___4	3277,3335;
18___5	3305,3382;
18___6	3297,3372;
18___7	3278,3429;
18___8	3306,3397;
18___9	3308,3334;
18___10	3265,3359;
18___11	3285,3436;
18___12	3306,3431;
18___13	3276,3427;
18___14	3277,3324;
18___15	3262,3337;
18___16	3277,3369;
19___1	3380,3475;
19___2	3369,3546;
19___3	3395,3455;
19___4	3388,3506;
19___5	3395,3454;
19___6	3412,3481;
19___7	3400,3526;
19___8	3449,3552;
19___9	3413,3495;
19___10	3352,3463;
19___11	3409,3562;
19___12	3394,3478;
19___13	3381,3465;
19___14	3373,3511;
19___15	3402,3492;
19___16	3408,3595;
20___1	3240,3347;
20___2	3241,3307;
20___3	3231,3295;
20___4	3228,3303;
20___5	3248,3281;
20___6	3231,3336;
20___7	3232,3362;
20___8	3281,3306;
20___9	3245,3402;
20___10	3227,3323;
20___11	3223,3301;
20___12	3217,3350;
20___13	3244,3395;
20___14	3240,3361;
20___15	3192,3311;
20___16	3213,3418;
21___1	6581,6680;
21___2	6589,6773;
21___3	6599,6728;
21___4	6580,6751;
21___5	6539,6694;
21___6	6567,6784;
21___7	6537,6695;
21___8	6621,6631;
21___9	6614,6762;
21___10	6569,6730;
21___11	6597,6717;
21___12	6598,6710;
21___13	6582,6693;
21___14	6578,6825;
21___15	6604,6679;
21___16	6603,6806;
22___1	6489,6712;
22___2	6537,6615;
22___3	6553,6715;
22___4	6541,6625;
22___5	6523,6699;
22___6	6506,6677;
22___7	6492,6793;
22___8	6608,6629;
22___9	6543,6816;
22___10	6533,6747;
22___11	6545,6685;
22___12	6542,6625;
22___13	6501,6666;
22___14	6508,6653;
22___15	6510,6671;
22___16	6521,6638;
23___1	6264,6369;
23___2	6254,6338;
23___3	6299,6344;
23___4	6268,6771;
23___5	6311,6507;
23___6	6282,6545;
23___7	6274,6488;
23___8	6366,6429;
23___9	6282,6447;
23___10	6212,6426;
23___11	6285,6383;
23___12	6279,6383;
23___13	6263,6450;
23___14	6256,6345;
23___15	6299,6438;
23___16	6294,6536;
24___1	6931,7273;
24___2	6912,7221;
24___3	6947,7190;
24___4	6956,7011;
24___5	7002,7141;
24___6	6943,7205;
24___7	6967,7225;
24___8	7023,7023;
24___9	6944,7225;
24___10	6942,7095;
24___11	6929,7139;
24___12	6926,7257;
24___13	6920,7173;
24___14	6940,7060;
24___15	6905,7018;
24___16	6916,7283;
25___1	7022,7146;
25___2	6974,7120;
25___3	7008,7191;
25___4	7012,7143;
25___5	6967,7167;
25___6	6991,7120;
25___7	6987,7149;
25___8	7047,7276;
25___9	7004,7291;
25___10	6998,7237;
25___11	6961,7107;
25___12	7013,7182;
25___13	6931,7244;
25___14	6973,7138;
25___15	6957,7189;
25___16	6948,7133;
26___1	6610,6716;
26___2	6648,6746;
26___3	6645,6826;
26___4	6619,6748;
26___5	6636,6784;
26___6	6652,6691;
26___7	6661,6781;
26___8	6695,6805;
26___9	6588,6772;
26___10	6621,6642;
26___11	6605,6766;
26___12	6648,6804;
26___13	6569,6671;
26___14	6617,6782;
26___15	6637,6812;
26___16	6647,6722;
27___1	6542,6859;
27___2	6621,6737;
